title,content_id
증평 남하리 석조보살입상,1116928
증평 미암리 석조관음보살입상,1116965
증평 에듀팜(블랙스톤 벨포레 리조트),2633956
증평 연병호 생가,1117099
증평 자전거공원,2714351
증평 장이익어가는마을,1117316
증평 좌구산 명상구름다리,2633957
증평 좌구산천문대,1943255
증평 증안골마을,762775
지천서원,1626879
진소마을,2789672
진천 금성대군 사당,125947
진천 길상사,125950
진천 김유신 탄생지와 태실,127459
진천 노원리 왜가리 번식지,126002
진천 농다리,125973
진천 덕산양조장,2465798
진천 배티 성지,127793
진천 산수리와 삼용리 요지,129528
진천 생거진천화랑촌,129306
진천 신헌 고가,129529
진천 연곡리 석비,125918
진천 이시발 신도비,125915
진천 이영남 묘소,1393534
진천 정송강사,125948
진천 태화4년명 마애여래입상,127622
진천공예마을,1938403
진천명품 휴미락캠핑장,1627055
진천향교,125914
진희네딸기,3035031
창룡사(충주),482049
채운암,126641
챔피언1250 원더아리아청주점,3071244
천동관광지,1626705
천태산,125907
청남대,127916
청덕사,1679026
청련암(단양),1956456
청룡사(청주),482165
청룡사(충주),482163
청룡사지,125966
청목화랑 전통낙화연구소,1947163
청산공원,2996098
청안 사마소,793123
청안향교,793159
청원 연꽃마을,605173
청주 무농정,127279
청주 문의문산관,1627116
청주 발산공원,3071351
청주 상당산성,125964
청주 성공회 성당,127275
청주 신전동 고가,127274
청주 신채호사당 및 묘소,125961
청주 용두사지 철당간,125911
청주 정북동 토성,127278
청주 중앙공원,125868
청주 충렬사,127276
청주 충청도병마절도사영문,127273
청주 탑동 양관,125912
청주 흥덕사지,125970
청주가로수길,2708067
청주동물원,753414
청주랜드,2766535
청주시 청주랜드 어린이체험관,2766536
청주청소년광장,3071546
청주향교,125909
청천수변공원,2912659
청풍 황석리 고가,1685586
청풍 후산리 고가,1685627
청풍리조트,143062
청풍문화재단지,126004
청풍정,756476
청풍호 관광모노레일,1908249
청풍호 유람선,2539394
청풍호반케이블카,2606296
체화서원,1956283
초원의 집,2761677
초정약수,125860
초정약수세종스파텔,3083730
충강공 이상급 신도비,1688600
충도저수지,2758226
충북 제천 수산면 [슬로시티],1857109
충북알프스자연휴양림,2419040
충용사,1956285
충주 강변길,2613451
충주 강천리 석불입상,1689632
충주 견학리 토성,1689639
충주 고불선원 소조여래좌상,1688902
충주 관아공원,2434855
충주 김생사지,1689764
충주 남산성,125967
충주 단호사 삼층석탑,1688941
충주 단호사 철조여래좌상,1688959
충주 대림산성,1686727
충주 라바랜드,2412842
충주 문주리 석조여래좌상,1689094
충주 문주리 요지,1688431
충주 미륵대원지,125976
충주 미륵대원지 사각석등,1689848
